"","intent","Precision","Recall","F1 Score","Examples"
"🟢","abnt","100.0%","100.0%","100.0%","14"
"🟢","revisao","100.0%","100.0%","100.0%","9"
"🟢","inciar_artigo","100.0%","100.0%","100.0%","10"
"🟢","avancar_estagio_artigo","100.0%","100.0%","100.0%","16"
"🟢","criacao","100.0%","100.0%","100.0%","16"
"🟢","menu","100.0%","100.0%","100.0%","9"
"🟢","checar_progresso_artigo","100.0%","100.0%","100.0%","10"
"🟢","originalidade","100.0%","100.0%","100.0%","16"
"🟢","plagio","100.0%","100.0%","100.0%","16"
"🟢","cumprimentar","100.0%","100.0%","100.0%","13"
"🟢","despedir","100.0%","100.0%","100.0%","4"
"🟢","saiba_mais","100.0%","100.0%","100.0%","14"
